Summary,Text,Score
Mixed emotions,No better place to stay on the north side of Chicago cause basically there are no hotels!,4
Fantastic Hotel!,We really enjoyed staying at The Guesthouse Hotel last week. The owner upgraded our room to a larger apartment and it was really comfortable. They provided us really good coffee. The location is excellent. The bus took us everywhere. We took brown train to downtown and we took Metra to the fantastic Chicago Botanical Garden. You don't need a car to enjoy all the best of Chicago from this hotel. We will definitely come back! Thank you!,5
Sisters weekend in Chicago,"The Guesthouse was a perfect spot for our mother/sisters' weekend in Chicago. The amenities were great and the 2BR/2Bath apartment was awesome. It was really nice to wake up in the morning to our own spot for coffee and breakfast and later in the day for hanging out prior to our evening event. Lots of time to catch up! Andersonville is a fun neighborhood with boutique shopping and good local restaurants. If you want to stock up in your kitchen when you go, Mariano's Grocery store - a 15 minute walk - is the best!",5
Truly a home away from home,"We stayed at the Guesthouse Hotel during a 5-week home renovation, and we could not have asked for a better home away from home! The hotel is chic, positioned very close to a few of Chicago's best neighborhoods (Andersonville, Ravenswood, Lincoln Square), close to amazing food, close to the beach...the list goes on and on. Most of all, it was comfortable and enabled us to smoothly transition from one home to the next. It is rare in Chicago to find someplace fully furnished - that really is FULLY furnished. There was never anything we needed - they even had a crib we used. It was a terrific experience, all around.",5
We loved our stay here! Our two bedroom suite was just perfect!,,5
Much better deal than you would think!,"Booked in here for 3 nights. THEN read the info about the hotel. Thought I couldnt afford the luxury but it wasn't much more (or maybe less) than a ROOM downtown. And it was a 2 bdrm apt, fully equipped, including washer and dryer. What a great place to stay!",5
Spectacular for space and at home feel!,"We stayed in a three bedroom unit for Spring Break. It was excellent! Minutes from lakeshore drive and close enough to every where we wanted to go. We did bring our own vehicle so that we could get to places. A definite place to stay if you want top accommodations, private bedrooms etc. I am so over small hotel rooms!",5
Oscar Weekend at the Guesthouse,"I had the best weekend at the Guesthouse! I was looking for a hotel with a kitchen to host an Oscar Party with my grown children who live in the area. Boy, did I hit the jackpot!!! Two bedrooms, fabulous kitchen, large living room with gas fireplace, supreme service and everything we needed include a spectacular grocery store down the street! We had so much fun hanging out in ""my apartment"" and instantly got cabs out front for our other activities. The lobby at the Guesthouse is equally comfortable and beautiful. Can't wait for my next visit.",5
Beautiful hotel,We stayed in the 3 bedroom unit. It was better than a traditional hotel. The staff was awesome. We were in town for our daughters wedding. It had all the amenities we needed for the long weekend. We loved that we could walk to restaurants too.,5
The Guest House truly lets you feel,"like you live in Chicago while you are here, only better! The apartments are beautiful and spacious with tasteful furnishings, high ceilings and lots of light. The staff is friendly and helpful and the lobby is a wonderful place to relax and have a complimentary cup of coffee or hot chocolate after a day of running around Chicago. The neighborhood, Andersonville, is very special-- with lots of shops, restaurants and easy access to the rest of the city. I felt so at home here this weekend that I gave a brunch for 16 local friends. And the Guest House made sure I had extra chairs and silverware. What a s",5
Back again!,"I have stayed at The Guesthouse on several occasions. It is always clean and beautifully furnished! This time my 1 year old granddaughter came along. The staff went out of their way to accommodate all her needs. They provided a crib, high chair and eating kit plus offered a list of other items - all complimentary!! We will be back!",5
Stunning,"Really loved this hotel right from the get-go. Stunning lobby, Super helpful staff. It has big, bright, well stocked suites. Close enough to andersonville to walk, but far enough to not be in the thick of it.",5
"Great Place, Great Experience!","I was upgraded to a 2 bed/2 bath suite. The place was amazing!! Beautiful and clean apartment complete with balcony, grill, and laundry. The staff was unbelievably accommodating and caring during my stay. I would come back here in a second.",5
Wonderful home away from home,"This was our second visit to the Guesthouse Hotel and once again it proved to be a wonderful place for a family gathering. Well stocked, fully equipped kitchen that was great for preparing holiday meals for our extended family. Comfortable, spacious rooms. This time, the sleep sofa had a very comfortable memory foam mattress (much better than our prior experience). Considering all the space and high end feeling, this is quite an affordable option versus staying in a more traditional hotel. Friendly staff, and dog friendly. Highly recommended.",5
Great experience!,"I had to go to Chicago for a funeral. Several of my family members needed rooms. I don't know how I stumbled on this place, but it was such a god send! I was traveling with my 11 month old baby and they gave me everything I needed for her, even a digital baby monitor! Everyone in our party loved how nice the rooms were and the staff could not have been more helpful!",5
Perfect Place for a Chicago Experience,"The facilities are clean, well maintained, and there is a 9 p.m. - 9 a.m. quiet rule that really helped this to be a perfect place to crash after a busy day out and about. The parking facilities are well worth the extra money--especially since there is no nearby alternative (all pay and park on Clark). The staff are all very friendly and helpful and even put away the perishable groceries I had delivered there before we arrived. The one thing that was only a little inconvenient is that there are no phones in the apartments, so there's no way to contact the main desk.",5
Wonderful place to stay.,"Every aspect of this hotel is excellent. The accommodations are neat.clean,stylish and very comfortable. The hotel staff is very professional and goes the extra mile to make everyone comfortable. The location is at the edge of Andersonville which has excellent food and shopping in a great neighborhood setting. Public transportation is very close: bus stop on the corner, red line within walking distance, taxis always available.",5
Live like a Local in the Windy City,"Spacious, modern, clean, with full kitchen, laundry and all of the niceties of a comfy home including a balcony with a great view. Located in the North Side of Chicago in a neighborhood with much to do within walking or driving distance. . The staff was knowledgeable, friendly and helpful.",5
"Our daughter, Carlene, brought us to Chicago for our 25th Anniversary, she set us up in the Guest House Hotel and I have to say I have never stayed anywhere that was so completely AWESOME. The whole stay in Chicago was a trip we will never forget.",,5
Thanksgiving,"Once again I had the pleasure of staying at the Guesthouse Hotel. I found it in the first place because it is convenient to family I visit in Chicago. I can make meals in the completely equipped kitchen. My grandson can spread out his toys and games when he spends time with me. I think this facility offers much for visitors who are at ease with public transit because bus stops are steps away from the door, and it is listed on Uber. The staff is knowledgeable about the neighborhood as well as the city at large. It is a relaxing place to return to after a busy day. I recommend it for families and long stay business travelers because it feels, when I come back, that I am coming to a second home.",5
We were welcomed home.,"We needed a last minute reservation after another place disappointed, we were in a bit of a hurry to get to dinner and a concert. When I called the Guesthouse Hotel and told the receptionist of our plight, she simply said, ""we have a room for you, of course/ Just get here and we will handle all the details then."" What a relief! When we approached the door, my friend and I laughed with delight at the welcoming effect of the foyer and lobby! We were taken care of with great caring, felt like we were family. Our suite was so beautiful and bright and we actually considered cancelling our reservations and ordering in so that we wouldn't have to leave! Every aspect of the stay was delightful and we will be back, hopefully many times. Thank you for al that made our stay so wonderful.",5
Neighborhood Gem,"We chose this hotel because we have family that lives in the area. What a find! The hotel room has everything you need from a full kitchen with high end appliances to a washer and dryer in unit. There was even a small balcony with a grill. We only stayed one night but this would be a perfect place to stay if you had to be in Chicago for an extended period. It was easy to host our family that we were visiting in our hotel room because you had everything you needed. The neighborhood is great, there are many good restaurants and bars within walking distance. We usually stay downtown when we visit but it was nice to be so close to our family. When you stay here you feel like you're living like a local.",5
Topnotch boutique hotel!,"There was nothing about this hotel that wasn't topnotch! From the inviting lobby, the helpful staff, the clean and luxurious suite, the private garage. We were visiting folks living on the North Side and chose this hotel for the location, amenities, garage, and especially, the reasonable price. I've stayed in much pricier hotels that could/should take lessons from The Guesthouse. After our departure, we discovered we left something behind. In short order, the staff retrieved our belongings and offered to ship it back home, too. Without a doubt, this is the place to stay!",5
A Great Choice,"We really liked everything about this hotel. It was very clean, well-appointed and reasonably priced. The staff was extremely friendly and helpful. In addition, there are many great restaurants and bars a very comfortable walk away from the hotel. I would gladly stay there again.",5
Loved it! Beautiful! Great location! Loved the gift shop! Affordable and local products!,,5
"Lovely, clean, and beautifully appointed",Just arrived to The Guesthouse Hotel. The one bedroom suite is spacious and clean. The hotel staff is very accommodating and helpful. The property is tastefully decorated and very lovely. The kitchen in the room has very nice appliances and everything you need if you want to cook a meal. Very nice place to stay if you don't need to be in the downtown area. Would definitely stay here again.,5
Great Location,We recently stayed at the Guest House while visiting the Andersonville neighborhood of Chicago. What a welcoming and comfortable place! The unique atmosphere fits right in to the wonderful community of Andersonville. It is easy to walk to restaraunts and sights in the area and bus/train are easily accessible for getting to other parts of Chicago. The Guest House is a very welcome change from typical hotel and bed/breakfast accommodations. We will have reasons to return to Andersonville and look forward to staying at The Guest House again and again.,5
"The Guesthouse is the perfect home away from home. We lived here for a little over a month while our house was been rehabbed after a fire. When your life is in dissary, it is nice to be at a place where the little things are taken care of quickly and professionally. Rick, Rosemary, Sarah and the rest of the staff were fantastic caretakers. Always pleasant and willing to help. The location is fantastic! Located in Andersonville, North of downtown, it's perfect for when you want to go to a cubs game (just hop on the bus) or you want stay in the city and not be downtown and still be close enough to be downtown in 15 minutes. I recommend to anyone who needs relocation housing, insurance housing, or a hotel in the city that's not downtown to stay at The Guesthouse Hotel!",,5
"A great 4 day weekend in a very outstanding, comfortable, great setting in Chicago!","Everything was lovely plus!!! The lobby and entryway were so cozy and inviting, the parking so safe, close and well lit. The unit itself - just outstanding. Bright, comfy, roomy, with everything you could ever need included there for you. We just loved it!",5
"Es llegar y sentirte mejor que en casa. La atención, el olor al café",,5
Great Place!,"My wife and I and five kids stayed at The Guesthouse Hotel for four nights in October. It was great. We travel quite a bit and I am picky about lodging...and this place was better than anywhere we have stayed. We had a 3BR suite - plenty of space, very clean, etc. Andersonville was wonderful with lots of neat shops, restaurants, etc. We spent a lot of time exploring on North Clark Street. It is an easy walk to the train and quick ride into downtown...but it was so nice to come back to The Guesthouse Hotel (and Andersonville) at the end of the day. Also, the staff was extremely helpful before and during our stay - including answering all of my questions and having a pack and play and high chair available for us. Overall, I can't say enough good things about The Guesthouse Hotel. We are already planning our next visit - this time with some other couples to further explore the area and see a Cubs game (Wrigley Field is a couple miles away and was an easy walk).",5
Living like a local,"Spent a long October weekend at the Guesthouse Hotel - what a delight!! A quick walk to local shops and restaurant scene, refreshments on the rooftop deck, easy access to the train if needed, and great accommodations and attentive staff. A repeat performance is definitely in order.",5
Great place to stay in Chicago. Close to the train and close to Wrigley.,,5
Nice Place!,This place is the best. We got a two room suite and it came with a roof top lounge.,5
It was good . Neat & clean with all accessories .pleasure to stay there. Staff was cooperative .,,4
Former colonies in chicago,We stayed at the Guesthouse with a total of 8 people and had a great time. The condo was awesome and the kitchen allowed us to cook many of our meals. Several of the members of our group have traveled extensively and we're all impressed. The front desk staff was also very prompt and helpful in answering questions both via email and in person.,5
Magical Wedding Weekend in Chicago,My Daughter got Married in Chicago on October 10....My family took 3 Condo's in the Guesthouse. It was perfect. The hotel staff was very helpful.....We had plenty of room to sleep Aunts and uncles and cousins and Grandma....everyone had a room. My daughter and her bridesmaids had plenty of room for Hair and makeup. We stocked the fridge and the bar and we felt like we were right at home. I would highly reccomend the Guesthouse for your next weekend event in Chicago!,5
"""First Choice"" for us!",Lloyd & Betty M,5
Wonderful Home Away From Home,"We were thrilled with the friendliness and ease of staying at the Guesthouse Hotel. We have stayed in many hotels around the city, but this place felt like home. The service was excellent and felt friendly and helpful. We stayed because it was close to the Kiss Kiss Cabaret - we were within an easy walking distance of it and several other entertainment venues. It was nice to be out of the noise and commotion of downtown and yet it was very easy to get downtown with the wonderful transit system in Chicago. We spent the weekend exploring the whole city but enjoyed being able to come back to ""our home away from home"".",5
Beautiful Place to Stay Outside of Downtown Chicago,"My husband and I were going to a concert at Wrigley Field and we have stayed downtown in the past but wanted to try something different and not be downtown - something less hectic and easier to get around so it wasn't easy, but I found The Guesthouse. I was a little nervous about it because there weren't a lot of reviews and it didn't pop up right away when I did a search. Also, everything within miles of Wrigley Field was booked so I worried a little that I could easily get a room. But I was so pleasantly surprised. It was easy to get to from O'Hare and so beautiful. We were upgraded to a 2 bedroom apartment and it looked brand new. Everything was in perfect condition and cleaner than I ever would have expected. It was pretty, bright and very roomy. There were two bedrooms, two bathrooms, washer/dryer, well stocked kitchen, living area and a nice deck with a grill. The bed was extremely comfortable and there were quiet hours between 9:00 p.m. and 9:00 a.m. which was great - we didn't hear a thing. The front desk staff was very helpful in suggesting how to get around and places to go. There is also a very nice binder in the room which has resources for restaurants, things to do, grocery shopping, etc. Groceries and ready to cook meals, along with take out food can easily be delivered to the room. The bus goes right by the hotel and getting to Wrigley Field took 10 minutes. This would be a wonderful place to stay with two couples or a family with children. Another great thing is that dogs are not only accepted, but welcome. I would recommend getting a parking pass for $20 per day. There is an assigned parking garage in the back of the building which was so convenient and safe. Rooms at the front of the building look out over a cemetery and street and rooms in the back look over the alley and garages.",5
Great Boutique Hotel,We live south of the city but stayed here for one night after a concert at Wrigley Field. I was shocked to find such a nice place in the area. It is about a mile and a half to Wrigley. We cabbed it down and then decided to walk back afterwards. The neighborhood was safe and we stopped to grab food too.,5
Nice stay in Chicago,Stayed there for three nights with family. Really nice place and provides everything you need for a relaxed stay. Coffee was nice but I wish they provided good English tea bags. Sarah at front desk is a charming lady with information about local area. Parking is available in proper lockable garage at very reasonable rate.,5
Great hotel,"Enormous, well appointed space. Balcony space (except it is across the street from a cemetery-the only down side), comfortable beds, full kitchen & lovely furnishings. They have a very Friendly staff with knowledge of the Low key neighborhood. Would stay here again in a heartbeat.",5
fabulous!,My little dog and I had a marvelous experience at the guesthouse. not only was the staff friendly and helpful-they truly were welcoming to my pet. the suites have beautiful wood floors that makes any necessary cleanup easy. the decor is simple but tasteful and most comfortable. in fact i would say that was the most comfortable hotel bed i've ever slept in right down to the pillows. i have zero complaints and i stayed four nights.,5
Boutique hotel and modern condo - Best of both worlds,"Their motto is ""live like a local"" and it is very appropriate. With a full kitchen, gas grill and lots of room, a family could easily take all of their meals here. That would be a mistake. Andersonville shops are just two blocks away, and include some of the best restaurants in Chicago. The hotel was a $40 cab ride from Midway Airport, and its a short cab or Uber drive to any of Chicago's attractions. A car is unnecessary, but they do maintain a small parking lot where you can park a vehicle for $20 a night. The two bedroom suite comfortably accomodates four guests and can handle up to six if you pull out the sleep sofa. They do not have daily housekeeping, but there is plenty of linen available and i actually enjoyed not having a maid in the room. The rooms were immaculate when we checked in. There were many luxury touches including a beautiful lobby, library, and heavy after shower robes. We loved our stay and have already made reservations for a wedding and mini family reunion this fall. If you're tired of downtown hotels and would like a more intimate visit to Chicago, this is the hotel for you.",5
"Great ""home away from home"" for a family reunion visit.","We were in town to visit family who lived in this part of Chicago, and other family members were coming from various other locations as well. Our 3-Bedroom unit was huge, with a fully equipped kitchen, balcony with a gas grill, ample seating areas for dining and hanging out, and spacious bedrooms. It is essentially a 3-bedroom condo unit that is offered on a highly basis, and good value given all you get versus a hotel room elsewhere.",5
Fantastic!,"Like other reviewers have said, this was really a home away from home. Friendly, welcoming and warm staff from start to finish, beautiful and comfortable suites. Wish we could have stayed longer. This is what a guesthouse should be and so much more. Highly recommend.",5
Wonderful hotel,"What a find. Tucked inconspicuously along Clark is a lovely hotel that was recommended by a relative because of proximity to them. We found it to surpass any hotel we've visited in Chicago by a large gap. The staff is marvelous, the rooms spacious, clean, well stocked...did I mention spacious? They are designed for people (who like real space) small groups and have kitchens, several rooms..new facilities. I could rave more but won't except to mention that the nearby Andersonville neighborhood is a delight with small shops, restaurants and a Swedish Museum.",5
Wonderful Accommodations!,"Five girlfriends and I stayed here for a Chicago girls weekend trip. We really enjoyed this hotel! We shared a three bedroom suite, and having the large kitchen and living area gave us plenty of room to spread out. Andersonville had wonderful restaurants and shopping - all within easy walking distance of the hotel. People should be aware, though, that the walk to the train is a little further than we had hoped (maybe 1 mile or so) - but it was completely manageable to walk to/from the train and was a quick trip into the city. I highly recommend this hotel.",5
AWESOME,"Very nice hotel and Great staff. Lots to do locally & downtown. Chicago transit system is very convenient, no car needed. Had family get together with my grandchildren from California & Il for the Cubs ~ Giants weekend. Great fans, food and memories. Would highly recomend the Guest Hotel. Thank you very much. Hope to see you soon.",5
AMAZING!!!,"Absolutely AMAZING hotel & staff. I couldn't have asked for a better place to stay for my first trip to Chicago. The Guesthouse Hotel has such a warm and inviting atmosphere and the hotel lobby boutique is so charming. They really work hard in making it feel like a home away from home. It is also conveniently located near the red line and not far from downtown Chi. Thank You Guesthouse for making my stay so wonderful, I loved it!!!!",5
Wonderful location for mini-family reunion!,"My brother had informed me about this relatively new hotel that had opened in his neighborhood and since I had been searching for the ideal location for my husband and me, my daughter and 2 grandsons that we would be picking up from music camp in Indiana for a 3-day stay in Chicago, The Guesthouse proved to be a wonderful choice. Unfortunately, a sudden illness prevented me from going but my husband (who had originally been reluctant to be so far from downtown) raved about it as did the rest of our family. The accommodations were more than ample to invite 9 additional adults and 2 children to have the reunion at The Guesthouse and they were very impressed. If you're coming to Chicago and don't need to be downtown, this is an excellent place. It is roomy, full kitchen, even a washer and dryer in the room. I would not hesitate recommending The Guesthouse especially if you need separate bedrooms. My only regret is that I missed the opportunity for myself but I will definitely make reservations when I have the chance to visit Chicago again.",5
Ideal location for a retreat with family and friends,"Last Thursday, our family of four met in Chicago for a spur of the moment ""family retreat."" We wanted a clean, attractive place to enjoy one another's company while deciding where to go for food and fun, preferably within walking distance. I cannot imagine anything better for this purpose than the Guesthouse Hotel. For three nights, we enjoyed a spotless, bright, beautifully furnished two-bedroom, two bath apartment with a full kitchen and large living quarters with washer/dryer. Excellent beds and linens, everything in working order, a closet full of extra towels, darn good coffee ready to brew. We walked down Lawrence to the organic, natural foods and gourmet grocery for provisions, two blocks down Clark to Chicago's hip restaurant scene for mussels and fries, to the train for forays downtown. Sincere thanks and best wishes to the kind and courteous staff who made us feel at home. Did I say that we grilled freshly caught white fish from Lake Superior on our balcony? No hesitations, we highly recommend this establishment.",5
Wish we could've stayed longer!!!,"We had a great stay at The Guesthouse Hotel. We had two families with ten people and stayed in the 3 bedroom suite. It was beautiful and very spacious to accommodate all of us. Lots of room for 6 boys to ""hang out"". Great little neighborhood. Make sure to eat breakfast at the Bongo Room. Best breakfast in Chicago!!",5
"Wonderful area of Chicago, lots of space","Andersonville is a great, quirky area north of downtown. Our 3 bedroom apartment was spacious and well equipped. Their motto is ""Live like a local"" and that is true if you are a fabulously wealthy local. I mean to say it is upscale. Only downside is that, unlike a regular hotel, each condo has its own hot water supply, which means if you are housing six you will run out of hot water. Also, no towel exchange but there is a washer dryer to wash the towels yourself. You also have to tote your trash to the curb yourself, but this is good because who wants trash bags in the hall. All in all a very nice stay for a family wedding.",4
Lovely stay!!,"My husband and I and another couple were extremely pleased with our stay at The Guesthouse Hotel. We stayed in a spacious, very clean, ground floor two bedroom, two bath condo. The condo was well-stocked with everything needed for our stay- fluffy towels in the bathrooms and full kitchen with glassware, cookware, coffeemaker. Additionally, our room had a small patio which was adjacent to the parking lot. Even though the view wasn't spectacular, we enjoyed having our morning coffee outside on the cool mornings. Rick and all the staff were quite friendly and extremely helpful with anything we needed!! All we had to do was ask! The hotel is centrally located for Chicago's public transportation. No need for a car!! Be sure to visit the wonderful restaurants along N. Clark and the charming Andersonville area near the hotel. We have already recommended The Guesthouse Hotel to friends visiting the Chicago area in August. We can't wait to go back ourselves!!",5
"Everything is first class, including the service and attitude.","We were very pleased and enthused by how nice all of the features and service by the staff made our stay perfect. All is first class, without a hitch. There was not anything that I would change. The cleanliness was top-notch, as was the quality of all of the furnishing and fixtures. The steam shower was a pleasant surprise.",5
Great place for the whole family!,We spent four nights in flat 410 - a two bedroom two bath with plenty of room for two adults and two teens. The room backs onto the alley and was very quiet. It was also spotless. The secure parking and the washer/dryer were bonuses. We followed the front desk's suggestion of the Bongo Room for breakfast. Delicious! Short walk to several good restaurants.,5
Great place for families,"We totally enjoyed our stay in this lovely hotel. The apartment was very tastefully furnished and the fully equipped and stylish kitchen made it easy to feel at home. We enjoyed the spacious rooms and modern bathrooms as well as the possibility to sit outside on a balcony after a long day of sightseeing. If we get the chance to visit Chicago again, we will definitely try to come back!",5
Trip to Wrigley - Royals/Cubs,"The Guesthouse Hotel was perfect for our trip from KC to Wrigley Field. We rented a 3BR unit as we had 3 adult couples -- our stay was absolutely perfect. Property is clean, people are very nice and all of us being able to stay in the same place was very convenient. We used the bus to get to Wrigley which is pretty user friendly, with the ability to text and receive bus arrival times, and the Red Line from Wrigley to Downtown -- all in all, about 20 minutes. I highly recommend The Guesthouse Hotel and we will absolutely stay there again!!!!!",5
Nice facility in a not so nice neighborhood,"I booked here because I am a Select Registry Fan. When we drove in my son, who lives in Chicago, asked me if I was sure I wanted to stay. I had already paid so gave it a try. I would definitely not stay here again as a single woman. Very uncomfortable driving back at night and the rat I ran over did not help. ( I guess I did not help the rat either). I realize rats do exist in cities as I am a New Yorker, but still not nice. As far as the room, it was attractive but no bath tub in the tiny bathroom and no shelf for personal items. Nice robes, nice kitchen and pleasant staff. Someone did come in my room when I was out and did not firmly close the door. Nothing was taken, but gave me a fright when I came back. There is no place to eat on the premises. Despite my rating I would not go back. The neighborhood, lack of tub, and lack of breakfast were deal breakers for me.",4
Just perfect!,"From check-in to check-out it was all ""just perfect!"" We stayed 4 days and fell in love with our 3bd, 2ba suite. The suite was well appointed and very comfortable. If we had a question the staff was quick to respond. Plenty of food, shopping and live music options all within walking distance. Wrigley was a little far for us but the bus was easy and Uber was always available as were cabs. We can't wait to stay at the guesthouse again! Neighborhood was very safe. Walked it all times of day and never had a concern.",5
Second visit better than the first,"We stayed at The Guesthouse a year ago, just as they were opening, and we couldn't think of a better place to stay when we returned to Chicago a year later.",5
Best place in Chicago,"Totally love this place! A home away from home. Full kitchen, plenty of room for the whole family.",5
"The Guesthouse Hotel was absolutely beautiful and the staff amazing. They truly worked diligently to accommodate our needs as we had an unexpected delay during our mini-vacation. The area itself was quaint and very entertaining, such that we did not feel the need to head into the downtown area. Delicious food, great shops and honestly their slogan says it all...we felt like locals and enjoyed every minute! We can not wait to return!",,5
The perfect place for our family and friends,"The Guesthouse Hotel is our “go to” hotel when our out-of-town family members need a place to stay and want to live like a local. The rooms are unbelievably spacious and clean, with all the amenities one could reasonably want. Further, the staff really goes the extra mile to make sure that everyone enjoys their stay. We recently had our daughter’s high school graduation party in the library and fireplace section of the lobby. It was perfect and intimate, and we received lots of compliments on the venue. This place is a real find.",5
"Wonderful, wonderful, wonderful.","We were three couples, two sharing a two bedroom suite and the other a one bedroom suite. The accommodations were comfortable, spacious and fully equipped. This allowed us to have everyone including our daughter and her family to enjoy a dinner together in the two bedroom suite. We took dull advantage of the neighborhood: shopping at the bakery and convenience store nearby, eating at local restaurants and walking up Clark Street to attend the street festival. The staff was attentive and great. I would definitely stay here on out next visit to Chicago.",5
Had a great stay,3 of us shared a 3 bedroom suite. Plus I brought my dog. It's all exactly like the website. It was a perfect stay.,5
"While I've not been able, yet, to place a client at The Guesthouse Hotel, if you are wanting a fabulous place to spend a weekend, a week or a month, I highly recommend The Guesthouse. Offering one, two and three bedroom fully furnished suites, on Clark in Andersonville with access to transportation and to some of the great restaurants and shops in the area. Whether it's for business or just a vacation, book a stay at The Guesthouse Hotel, you will be welcomed with grace and charm.",,5
Outstanding comfortable and spacious accomodations,"For our group of locals celebrating a bachelor party mostly permanently residing in the suburbs, this was an excellent value and alternative for our stay in the Chicago area. We were amazed with the amount of space in our 2br, 2ba penthouse suite. The private rooftop access was definitely a bonus with a skyline view for our group of 5 to unwind and relax after a early morning of sailing from nearby Belmont harbor. We even took advantage and utilized the nice grill on the balcony to have a great dinner of grilled veggies, brats and bbq ribs which we got from the grocery store nearby. It is modern, clean, classy and has everything you need from it's own spacious kitchen area and even a washer/dryer. The staff were friendly and accommodating and the garage parking behind the lobby is also a great option. Would definitely recommend to visitors and locals alike looking to enjoy your time in the many nearby neighborhoods and exploring Chicago.",5
"Beautiful, elegant, first class & in a great location!!!","What a great hotel!!! The staff were so nice and accommodating. We rented the penthouse suite, which included a rooftop deck with comfortable chairs. We planned a graduation on the rooftop but when it rained the staff offered the library & lounging area downstairs for the party and it was a perfect space for the party. Our suite was two full bedrooms, a sleeper sofa, and a full kitchen. Also included full size washer & dryer, comfortable beds, and several other ammenities. It was in a perfect location in a nice neighborhood in North Chicago. Some of the best restaurants in Chicago were within walking distance. I highly recommend Giordano's pizza, follwed by George's Ice-Cream, and they are open late.",5
Great departure from downtown,"The perfect place to settle in and have an urban experience and a 'home away from home'. Great neighborhood with excellent eating and drinking options nearby (notably The Mango Room, Tweet, Little Big Wolf...yes you might wait, but this is Chicago so prepare yourself or go early). Walk to Wrigley if you like getting outdoors or jump in a cab/uber ride for less than $10. Head east for a short jog to the park, this makes for a great warmup so you can get your run in along the lake.",5
classy all the way,after a 26 hour flight from india the best part was to check in this hotel.,5
The neighborhood hotel of choice!,"We stayed in a darling two bedroom, with a balcony. This couldn't have been a better choice. Having a small kitchen made having breakfast in the morning and wine and snacks in the evening, a lovely experience. It is very roomy and so nicely appointed. There are plenty of restaurant choices relatively close and being in a neighborhood environment vs downtown was very enjoyable. The staff was so helpful and friendly. It was an intimate experience all the way around.",5
Lovely Stay!!,My stay at the Guesthouse was great. The property is just as pictured....,5
Home away from home,"I can't begin to tell everyone what a fabulous place the guesthouse is to stay at. Our daughter graduated from Loyola Law School so we were going to have family and friends attending, so I wanted a place we could entertain and have a Graduation party. We had a three bedroom unit that was so spacious, well appointed and luxurious. It was simply amazing. You will not be disappointed. It is truly such a nice place to stay as well as free parking which is a real plus in Chicago. The staff was very accommodating and a pleasure to deal with. We will definitely stay here again if we travel back to that beautiful city. Thanks Guesthouse, you made our celebration a huge success!!",5
"We just returned from a extended weekend at the Guesthouse Hotel to celebrate our daughters graduation from law school. We had a three bedroom because we had family and friends coming in to celebrate and we wanted a place to entertain. It was fabulous, luxurious and just perfect for all. What a great place! You guys should be commended for going above and beyond. Even free parking which is a rare thing in Chicago. Thanks for a wonderful weekend and great memories!!",,5
Small Town Friendly with Upscale Standards,"We have stayed at the Guesthouse Hotel on a number of occasions as it is walking distance from our son's condo. The rooms are spacious, immaculate, and well laid out with kitchen facilities and comfortably sized living areas. We have stayed in numerous facilities over our many visits to Chicago and this remains our favorite. They have a pantry on the first floor which offers drinks and food choices which can be prepared in one's room. This place is a hidden gem.",5
Chicago Hotel - The Guesthouse - AMAZING!,"Traveling with your family is awesome, but it can be tough packing for all their needs. One reason we decided on The Guesthouse was because they literally had everything we needed for our two young children. Not having to bring everything from home saved us a lot of time and hassle. Besides being accommodating for kids, the suite and rooftops views were amazing. Very classy, very clean and a great location in Andersonville. We will definitely be staying there again when we visit Chicago.",5
A home away from home,This stay was a girl's trip to visit our friend's daughter who attends DePaul University,5
The Best of Andersonville,"Andersonville is an up-and-coming neighborhood on the north side of Chicago and The Guesthouse is the perfect base for exploring it. From Cubs games at Wrigley Field to hip gastropubs to antique shops, the neighborhood has a lot to offer. The suite we enjoyed for two days was immaculate, the bed was perfect, the service was friendly, and the ability to charge our electric car overnight was an added bonus. Next time we're in Chicago, we'll be back!",5
Great home away from home,"This place is just wonderful, starting from when you make the booking to when you leave. The 2BR/2 bath apartment we had was great. It was clean, very spacious, and felt like a home. Besides checking in, you forget you are at a guesthouse. They have a full laundry inside, and a full kitchen. It was nice to not be in a hotel for a bit, and catch up on laundry. It was also nice to have a couple friends over for dinner. The location is good too, within a short walk from Andersonville and Uptown. The train station is also not that far. It's also a nice neighbourhood for running. The price is not that much more than a hotel, and considering what you get, it's a great price. I will definitely be coming back.",5
Excellent choice for family,"We really enjoyed our stay at the Guesthouse Hotel in Andersonville, IL. For our family of 5, 3 bedrooms and 2 baths were a must. To be able to find a place as nice as the Guesthouse and stay around $300/night was great. Modern amenities (large custom shower with steam in the Master Bathroom, hardwood floors, granite countertops, stainless steel appliances, large HDTV in the Living Room, wireless internet, washer/dryer) were top notch. Location was convenient for mass transit although we didn't use it during our visit. We drove into Chicago every day just after the morning rush which took about 15 minutes. Secure, reserved parking was a plus. The staff was great as well, answering our questions about the area and taking care of all of our needs during our stay. Again, we very much enjoyed our stay and would highly recommend the Guesthouse to anyone visiting the Chicago area.",5
